config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
uci__none__decision_tree__r10,uci,none,Baseline,decision_tree,0.1,0.9327731092436975,0.8102189781021898,0.8671875,0.85614018555452,0.9018627358043416,0.9751643535427319,0.9463278509811356,0.8743597873919222,1224,8,26,111,0.9037,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",2.3,5472,1369,547,137,10.0,10.01
uci__none__random_forest__r10,uci,none,Baseline,random_forest,0.1,1.0,0.8102189781021898,0.8951612903225806,0.8907713476628493,0.9051094890510949,0.9810080350620891,0.9799329320314722,0.9493204766289902,1232,0,26,111,0.904,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 100}",6.8,5472,1369,547,137,10.0,10.01
uci__none__svm__r10,uci,none,Baseline,svm,0.1,0.9827586206896551,0.8321167883211679,0.9011857707509882,0.894946963667409,0.9152467058488956,0.9817384952520087,0.9726070006635701,0.9337692667877288,1230,2,23,114,0.911,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",1.9,5472,1369,547,137,10.0,10.01
uci__random_oversampling__decision_tree__r10,uci,random_oversampling,Data-level (resampling),decision_tree,0.1,0.9291338582677166,0.8613138686131386,0.8939393939393939,0.8834160000587727,0.927004336903972,0.9795471146822499,0.9328816712484596,0.8664892101978164,1223,9,19,118,0.9037,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",1.0,5472,1369,547,137,10.0,10.01
uci__random_oversampling__random_forest__r10,uci,random_oversampling,Data-level (resampling),random_forest,0.1,0.9349593495934959,0.8394160583941606,0.8846153846153846,0.8740950918982896,0.916461275950327,0.9780861943024105,0.9818377334344488,0.9446216703214222,1224,8,22,115,0.9091,"{""max_depth"": null, ""max_features"": ""log2"", ""n_estimators"": 300}",9.0,5472,1369,547,137,10.0,10.01
uci__random_oversampling__svm__r10,uci,random_oversampling,Data-level (resampling),svm,0.1,0.8731343283582089,0.8540145985401459,0.8634686346863468,0.8485367451889161,0.9201079486207223,0.972972972972973,0.9723344629822732,0.9056381311981141,1215,17,20,117,0.8699,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",4.3,5472,1369,547,137,10.0,10.01
uci__random_undersampling__decision_tree__r10,uci,random_undersampling,Data-level (resampling),decision_tree,0.1,0.6647727272727273,0.8540145985401459,0.7476038338658147,0.722755599980887,0.9030624940752678,0.9422936449963477,0.9560355246942838,0.7886244678115659,1173,59,20,117,0.7617,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_split"": 10}",0.9,5472,1369,547,137,10.0,10.01
uci__random_undersampling__random_forest__r10,uci,random_undersampling,Data-level (resampling),random_forest,0.1,0.7643312101910829,0.8759124087591241,0.8163265306122449,0.7966603959738204,0.9229399706133283,0.960555149744339,0.9850104275286757,0.931856432259354,1195,37,17,120,0.8312,"{""max_depth"": 20, ""max_features"": ""log2"", ""n_estimators"": 100}",5.1,5472,1369,547,137,10.0,10.01
uci__random_undersampling__svm__r10,uci,random_undersampling,Data-level (resampling),svm,0.1,0.7333333333333333,0.8832116788321168,0.8013245033112583,0.7811758217313187,0.9237486965589156,0.956172388604821,0.9767720874016496,0.9102819128227008,1188,44,16,121,0.7881,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",1.0,5472,1369,547,137,10.0,10.01
uci__smote__decision_tree__r10,uci,smote,Data-level (synthetic),decision_tree,0.1,0.9914529914529915,0.8467153284671532,0.9133858267716537,0.9080116821527344,0.9229518200777325,0.9839298758217677,0.9294867996966537,0.8669772487392229,1231,1,21,116,0.9074,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",1.2,5472,1369,547,137,10.0,10.01
uci__smote__random_forest__r10,uci,smote,Data-level (synthetic),random_forest,0.1,0.9826086956521739,0.8248175182481752,0.8968253968253969,0.8905744269677985,0.9115970708123993,0.9810080350620891,0.9836980993459096,0.957219468141911,1230,2,24,113,0.916,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",10.5,5472,1369,547,137,10.0,10.01
uci__smote__svm__r10,uci,smote,Data-level (synthetic),svm,0.1,0.8976377952755905,0.8321167883211679,0.8636363636363636,0.8498549806799487,0.91078242013461,0.9737034331628927,0.9730809792397384,0.9115929152607289,1219,13,23,114,0.8705,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",3.8,5472,1369,547,137,10.0,10.01
uci__adasyn__decision_tree__r10,uci,adasyn,Data-level (synthetic),decision_tree,0.1,0.959349593495935,0.8613138686131386,0.9076923076923077,0.8996307754926266,0.9286277135273485,0.9824689554419284,0.9352100910038866,0.8519406082035555,1227,5,19,118,0.9033,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",1.3,5472,1369,547,137,10.0,10.01
uci__adasyn__random_forest__r10,uci,adasyn,Data-level (synthetic),random_forest,0.1,0.9745762711864406,0.8394160583941606,0.9019607843137254,0.8949763826194399,0.9184904967295477,0.9817384952520087,0.9836832875154042,0.9544647243383189,1229,3,22,115,0.9152,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",10.3,5472,1369,547,137,10.0,10.01
uci__adasyn__svm__r10,uci,adasyn,Data-level (synthetic),svm,0.1,0.8248175182481752,0.8248175182481752,0.8248175182481752,0.8053369987676557,0.9026684993838279,0.9649379108838568,0.9687203763389894,0.8947196064231597,1208,24,24,113,0.8611,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",4.3,5472,1369,547,137,10.0,10.01
uci__smoteenn__decision_tree__r10,uci,smoteenn,Hybrid,decision_tree,0.1,0.8175675675675675,0.8832116788321168,0.8491228070175438,0.8323949288408122,0.9306480472082662,0.9685902118334551,0.9306480472082662,0.7337725869487559,1205,27,16,121,0.8631,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_split"": 2}",5.5,5472,1369,547,137,10.0,10.01
uci__smoteenn__random_forest__r10,uci,smoteenn,Hybrid,random_forest,0.1,0.8467153284671532,0.8467153284671532,0.8467153284671532,0.8296698739216988,0.9148349369608493,0.9693206720233747,0.9785317328656744,0.9243471668021193,1211,21,21,116,0.8817,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",12.9,5472,1369,547,137,10.0,10.01
